com.samsung.health.floors_climbed,6100041,5
start_time,pkg_name,update_time,create_time,time_offset,datauuid,custom,end_time,floor,deviceuuid
2019-07-24 21:15:43.600,com.sec.android.app.shealth,2019-07-24 21:16:05.654,2019-07-24 21:16:05.633,UTC-0500,76825c6e-b3c5-3fbc-827e-a9b5438c2deb,,2019-07-24 21:15:55.631,1.0,hytsFLPcD3,
2019-07-27 01:02:22.052,com.sec.android.app.shealth,2019-07-27 01:08:08.392,2019-07-27 01:06:14.079,UTC-0400,dba0953c-151a-0b5a-b75d-993b0ff46154,,2019-07-27 01:07:21.216,18.0,hytsFLPcD3,
2019-07-28 13:45:41.818,com.sec.android.app.shealth,2019-07-28 13:58:38.005,2019-07-28 13:58:37.977,UTC-0400,8260cfcc-cb26-1fb4-9b9b-186f567a8c04,,2019-07-28 13:45:59.821,1.0,hytsFLPcD3,
2019-10-14 11:59:26.142,com.sec.android.app.shealth,2019-10-14 12:00:29.216,2019-10-14 12:00:29.146,UTC-0400,586abd9a-0e89-4dff-e7b7-582dac0027a5,,2019-10-14 12:00:00.145,1.0,hytsFLPcD3,
2019-07-27 21:23:39.263,com.sec.android.app.shealth,2019-07-27 21:28:24.462,2019-07-27 21:28:24.434,UTC-0400,5498b74e-a1b7-4654-d5fd-90d3f1dcbfd9,,2019-07-27 21:23:50.265,1.0,hytsFLPcD3,
2019-10-01 03:14:05.618,com.sec.android.app.shealth,2019-10-01 03:14:54.701,2019-10-01 03:14:54.620,UTC-0400,aa3dc86b-84f5-4ce7-c0ef-e1ba94e80f05,,2019-10-01 03:14:29.620,1.0,hytsFLPcD3,
2019-08-05 20:39:53.681,com.sec.android.app.shealth,2019-08-05 20:40:55.718,2019-08-05 20:40:55.708,UTC-0400,6de2893b-eaa3-b33f-989b-642acd3f6991,,2019-08-05 20:40:08.684,1.0,hytsFLPcD3,
2019-09-02 00:35:14.727,com.sec.android.app.shealth,2019-09-02 00:35:39.947,2019-09-02 00:35:39.887,UTC-0400,60e33c10-1169-e110-a39a-0a296f8e1f11,,2019-09-02 00:35:35.790,1.0,hytsFLPcD3,
2019-10-14 18:29:40.560,com.sec.android.app.shealth,2019-10-14 18:30:23.647,2019-10-14 18:30:23.579,UTC-0400,57b78cee-10c6-c87e-6d55-4014a9dd993a,,2019-10-14 18:30:02.565,1.0,hytsFLPcD3,
2019-10-11 21:23:41.571,com.sec.android.app.shealth,2019-10-11 21:25:09.673,2019-10-11 21:25:09.584,UTC-0400,210a1a54-5fee-489a-462f-e7441b98983d,,2019-10-11 21:24:08.580,1.0,hytsFLPcD3,
2019-10-14 01:42:25.592,com.sec.android.app.shealth,2019-10-14 01:43:46.704,2019-10-14 01:43:46.677,UTC-0400,fbf79dbd-990b-d5b0-8b85-76bd6547c489,,2019-10-14 01:42:54.617,1.0,hytsFLPcD3,
2019-10-04 14:45:56.828,com.sec.android.app.shealth,2019-10-04 14:47:23.881,2019-10-04 14:47:23.413,UTC-0400,4ff92f52-0a24-2376-b3e1-56fd375c04eb,,2019-10-04 14:46:14.853,1.0,hytsFLPcD3,
2019-10-10 17:38:55.480,com.sec.android.app.shealth,2019-10-10 17:39:28.592,2019-10-10 17:39:28.569,UTC-0400,418eee78-ec9b-c797-8a09-c7cd04ceffac,,2019-10-10 17:39:20.508,1.0,hytsFLPcD3,
2019-10-10 03:40:49.585,com.sec.android.app.shealth,2019-10-10 03:42:43.848,2019-10-10 03:41:09.605,UTC-0400,f68766f6-c057-4e0b-d47c-82b6ddd6af9f,,2019-10-10 03:41:28.815,3.0,hytsFLPcD3,
2019-09-08 15:46:19.845,com.sec.android.app.shealth,2019-09-08 15:47:51.010,2019-09-08 15:47:50.892,UTC-0400,2f8adfc3-e65f-f59a-f5f3-013749250031,,2019-09-08 15:46:33.848,1.0,hytsFLPcD3,
2019-08-24 19:32:32.512,com.sec.android.app.shealth,2019-08-24 19:32:58.560,2019-08-24 19:32:58.529,UTC-0400,148519d8-df09-64d1-b889-653aa0b4f460,,2019-08-24 19:32:45.529,1.0,hytsFLPcD3,
2019-07-28 01:19:38.725,com.sec.android.app.shealth,2019-07-28 01:19:56.896,2019-07-28 01:19:44.727,UTC-0400,b8302785-2e0c-ae7f-6eaa-82cbb7a7875b,,2019-07-28 01:19:45.833,1.0,hytsFLPcD3,
2019-10-06 02:13:40.599,com.sec.android.app.shealth,2019-10-06 02:15:51.633,2019-10-06 02:15:51.609,UTC-0400,be90265f-83a8-cb63-d691-99e495228ede,,2019-10-06 02:14:07.601,1.0,hytsFLPcD3,
2019-08-01 18:22:53.593,com.sec.android.app.shealth,2019-08-01 18:23:28.628,2019-08-01 18:23:28.605,UTC-0400,7e276a9b-972e-6c7f-e754-b3bec3d5ad93,,2019-08-01 18:23:06.601,1.0,hytsFLPcD3,
2019-10-14 14:41:51.474,com.sec.android.app.shealth,2019-10-14 14:42:38.515,2019-10-14 14:42:38.492,UTC-0400,724eeb59-377a-a66c-76c3-0cacf2fa56e9,,2019-10-14 14:42:18.492,1.0,hytsFLPcD3,
2019-08-27 14:30:10.557,com.sec.android.app.shealth,2019-08-27 14:30:57.610,2019-08-27 14:30:57.579,UTC-0400,1b0b90ce-7b18-24fa-88bc-80266fe679c9,,2019-08-27 14:30:33.560,1.0,hytsFLPcD3,
2019-10-02 15:54:45.429,com.sec.android.app.shealth,2019-10-02 16:00:59.555,2019-10-02 16:00:59.314,UTC-0400,b1310d99-7267-0e53-af42-9c54c8b4e699,,2019-10-02 15:55:06.431,1.0,hytsFLPcD3,
2019-09-07 23:37:25.800,com.sec.android.app.shealth,2019-09-07 23:37:38.849,2019-09-07 23:37:38.818,UTC-0400,35c11296-8ace-ccfa-9f55-f48940470290,,2019-09-07 23:37:36.816,1.0,hytsFLPcD3,
2019-09-05 15:00:37.317,com.sec.android.app.shealth,2019-09-05 15:01:06.418,2019-09-05 15:01:06.418,UTC-0400,f39ca8ff-d064-9570-4a58-e18c90c40e84,,2019-09-05 15:01:00.317,1.0,hytsFLPcD3,
2019-08-02 18:26:45.669,com.sec.android.app.shealth,2019-08-02 18:28:27.824,2019-08-02 18:28:27.813,UTC-0400,541e739a-26bb-1b2f-dd29-97c0755bd704,,2019-08-02 18:27:00.727,1.0,hytsFLPcD3,
