com.samsung.shealth.activity.day_summary,6100041,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,-1,-1,2019-01-10 08:19:36.718,0.0,0,0,0,1544918400000,eL5K8TBQJK,0,0,com.sec.android.app.shealth,2019-01-10 08:19:36.718,0,5f584a16-189e-4aa6-9650-95eec8b73a17,5f584a16-189e-4aa6-9650-95eec8b73a17.extra_data.json,0.0,
0,60,16140000,2019-10-10 05:00:00.955,7789.677,100986,9992,6111516,1570665600000,eL5K8TBQJK,6212502,170,com.sec.android.app.shealth,2019-10-11 04:53:16.335,420000,88a26c57-b3d5-484f-98cd-1782c1d361cb,88a26c57-b3d5-484f-98cd-1782c1d361cb.extra_data.json,365.46005,
0,60,24180000,2019-09-07 05:00:06.188,6762.097,38338,9135,5709241,1567814400000,eL5K8TBQJK,5747579,158,com.sec.android.app.shealth,2019-09-08 10:28:03.444,948480,bdd161d4-0ea5-46d4-a28d-59a09cf2d294,bdd161d4-0ea5-46d4-a28d-59a09cf2d294.extra_data.json,318.6676,
0,60,34140000,2019-06-12 06:00:12.265,3206.5894,36584,4062,2553305,1560297600000,eL5K8TBQJK,2589889,70,com.sec.android.app.shealth,2019-06-13 06:00:01.161,360000,4dae09b7-9447-4a5f-94ec-8421ba33de0a,4dae09b7-9447-4a5f-94ec-8421ba33de0a.extra_data.json,153.37,
0,-1,-1,2019-01-10 08:19:37.081,0.0,0,0,0,1545782400000,eL5K8TBQJK,0,0,com.sec.android.app.shealth,2019-01-10 08:19:37.081,0,ab875549-335b-4d61-bfb4-d74063c5a718,ab875549-335b-4d61-bfb4-d74063c5a718.extra_data.json,0.0,
0,60,26460000,2019-06-04 05:00:01.522,10957.982,17106,14139,8842524,1559606400000,eL5K8TBQJK,8859630,245,com.sec.android.app.shealth,2019-06-05 04:27:25.818,1180239,4c8f8b19-92fc-422c-bde8-4fe5e0adc17e,4c8f8b19-92fc-422c-bde8-4fe5e0adc17e.extra_data.json,509.30066,
0,60,21840000,2019-02-19 07:00:00.572,2110.73,13164,2641,1715277,1550534400000,eL5K8TBQJK,1728441,46,com.sec.android.app.shealth,2019-02-20 07:00:01.204,60000,1774e56d-748f-4cf5-a6b3-b432ead8a7f0,1774e56d-748f-4cf5-a6b3-b432ead8a7f0.extra_data.json,98.369995,
0,60,21900000,2019-02-08 07:00:00.376,3010.0999,28400,3846,2459687,1549584000000,eL5K8TBQJK,2488087,66,com.sec.android.app.shealth,2019-02-09 17:09:00.981,120000,3deffa5d-11b0-44f5-b0d3-2e6662991bc7,3deffa5d-11b0-44f5-b0d3-2e6662991bc7.extra_data.json,148.54005,
0,60,22980000,2019-01-14 07:00:00.727,4364.641,53512,5550,3557286,1547424000000,eL5K8TBQJK,3610798,98,com.sec.android.app.shealth,2019-01-15 07:00:03.917,120000,da6e4cdc-65c1-4d49-a322-cf7d411e73e6,da6e4cdc-65c1-4d49-a322-cf7d411e73e6.extra_data.json,211.5,
0,60,14820000,2019-05-23 07:16:29.511,11431.388,826227,13023,7092353,1558569600000,eL5K8TBQJK,7918580,218,com.sec.android.app.shealth,2019-05-24 05:26:07.309,2052975,105f6493-fe30-4a63-b64a-74af941c4340,105f6493-fe30-4a63-b64a-74af941c4340.extra_data.json,580.95386,
