com.samsung.shealth.exercise.weather,6100041,3
sunset_time,exercise_id,latitude,temperature_scale,type,deviceuuid,update_time,uv_index,icon_info_id,datauuid,sundown_time,content_provider,temperature,humidity,wind_speed,longitude,create_time,time_offset,wind_speed_unit,custom,wind_direction,start_time,pkg_name,phrase,forecast_time
,5e4b23a2-d312-1c0e-a4f0-e210a3bb9c79,19.343582,1,0,hytsFLPcD3,2019-09-05 14:38:24.877,0.0,2,eb92a7a8-a7d9-f937-f882-b40ab9b6e38f,,TWC,15.0,76,,-99.199234,2019-09-05 14:38:24.877,UTC+0100,,,,2019-09-05 13:29:55.680,com.sec.android.app.shealth,Parcialmente nublado,,
,eb057d85-fe6a-ba13-566c-5f8bf3802986,19.343052,1,0,hytsFLPcD3,2019-12-14 20:08:06.874,6.0,1,bbb752e2-7ca8-e4c1-6053-ab532810bed9,,TWC,21.0,17,,-99.198204,2019-12-14 20:08:06.874,UTC+0100,,,,2019-12-14 19:38:07.960,com.sec.android.app.shealth,Soleado,,
,e6d7d999-c0ed-aacf-caed-22c6a701f16a,19.344826,1,0,hytsFLPcD3,2019-12-03 13:15:41.376,0.0,1,63b5d6c3-678f-5c45-5342-a06cf182241d,,TWC,9.0,79,,-99.19964,2019-12-03 13:15:41.376,UTC+0100,,,,2019-12-03 13:02:34.250,com.sec.android.app.shealth,Soleado,,
,3ffe5966-42a5-a295-ba7c-109dce300400,19.439358,1,0,hytsFLPcD3,2019-10-13 21:49:24.363,5.0,1,e73aa685-e909-6a9a-9ca0-aea034be472e,,TWC,26.0,41,,-99.20566,2019-10-13 21:49:24.363,UTC+0100,,,,2019-10-13 21:16:01.340,com.sec.android.app.shealth,Soleado,,
0,8619c765-0ac5-4f9b-93fb-232abb1dfcd3,19.341623,1,1,eL5K8TBQJK,2019-09-29 21:45:21.703,,3,ee92ce58-07c3-424f-a539-8b92b6d5cdd5,0,TWC,20.0,81,14.0,-99.191345,2019-09-29 21:45:21.703,UTC-0400,km/h,,SSE. 160,2019-09-29 21:45:21.698,com.sec.android.app.shealth,Nublado,0,
,c40f71a1-e2a5-6b68-c28b-a23a9f94c497,19.344658,1,0,hytsFLPcD3,2019-11-07 00:16:50.555,0.0,3,44bc443e-3ef7-49bc-ccec-73e4087a8999,,TWC,19.0,58,,-99.199394,2019-11-07 00:16:50.555,UTC+0100,,,,2019-11-07 00:04:04.090,com.sec.android.app.shealth,Mayormente nublado,,
,b872ca8a-60ff-e6c3-fc4d-16f5cd51613b,19.34478,1,0,hytsFLPcD3,2019-12-07 01:55:37.392,0.0,18,83125da1-2a87-0b14-2a93-45861906f601,,TWC,17.0,27,,-99.19982,2019-12-07 01:55:37.392,UTC+0100,,,,2019-12-07 01:34:46.340,com.sec.android.app.shealth,Despejado,,
,18f1d4d5-4348-e7a9-8407-8adabb7d2802,19.368715,1,0,hytsFLPcD3,2019-12-10 23:08:08.072,0.0,2,f94dda6b-7c5c-dd8a-edc2-d1fb029fdf67,,TWC,21.0,26,,-99.25791,2019-12-10 23:08:08.072,UTC+0100,,,,2019-12-10 22:53:16.570,com.sec.android.app.shealth,Parcialmente nublado,,
0,164b0e78-4ef8-4f29-8ab2-755be2dee5cc,19.431505,1,1,eL5K8TBQJK,2019-06-04 19:42:14.103,,3,273eb88f-8c50-4efc-a1bc-f9af0a3129f3,0,TWC,22.0,54,8.0,-99.19765,2019-06-04 19:42:14.103,UTC-0400,km/h,,ESE. 110,2019-06-04 19:42:14.102,com.sec.android.app.shealth,Nublado,0,
,28e22182-78e8-d8ba-c2a6-cb0732a98160,19.341953,1,0,hytsFLPcD3,2019-10-22 16:49:40.115,5.0,3,670afad1-502c-e67e-ac0a-ec98f41f9999,,TWC,18.0,67,,-99.1994,2019-10-22 16:49:40.115,UTC+0100,,,,2019-10-22 16:37:19.280,com.sec.android.app.shealth,Mayormente nublado,,
,3f91e1ff-4579-de27-e1ec-6eaa9446df3b,24.79753,1,0,hytsFLPcD3,2019-11-03 07:23:30.219,0.0,19,1518696b-3d49-1ef0-8635-b908a58eb753,,Accuweather,23.2,86,7.0,-107.39485,2019-11-03 07:23:30.219,UTC+0100,km/h,,O,2019-11-03 07:03:44.060,com.sec.android.app.shealth,Parcialmente nublado,,
0,6216552d-c17a-4031-92dd-a97fe33ca576,24.816198,1,1,eL5K8TBQJK,2019-04-12 00:05:17.567,,1,f90dd5cd-ff3f-40b0-9566-41c1fd252290,0,TWC,29.0,21,27.0,-107.38778,2019-04-12 00:05:17.567,UTC-0500,km/h,,OSO. 250,2019-04-12 00:05:17.562,com.sec.android.app.shealth,Soleado,0,
0,0a027cd6-d2c9-41fe-87f1-4d4cf9f9e579,19.34342,1,1,eL5K8TBQJK,2019-11-25 00:12:46.265,,3,06582661-016e-44d0-83dd-42e7d0af33ba,0,TWC,19.0,53,14.0,-99.19077,2019-11-25 00:12:46.265,UTC-0500,km/h,,ESE. 110,2019-11-25 00:12:46.264,com.sec.android.app.shealth,Nublado,0,
,0909de1b-7f08-56aa-3bb2-fd813aa57104,19.33996,1,0,hytsFLPcD3,2019-08-31 23:18:21.240,2.0,1,4fe7dec5-ed30-8dd3-1f48-a95e9f1f0d56,,TWC,24.0,22,,-99.190475,2019-08-31 23:18:21.240,UTC+0100,,,,2019-08-31 22:49:54.760,com.sec.android.app.shealth,Soleado,,
,a4ce1955-5e22-6b7d-a849-a1a547a7c52f,19.344233,1,0,hytsFLPcD3,2019-08-15 17:56:03.925,11.0,1,096e8761-7795-17b1-ec69-0fe091e6cb35,,TWC,22.0,49,,-99.19279,2019-08-15 17:56:03.925,UTC+0100,,,,2019-08-15 17:26:31.260,com.sec.android.app.shealth,Soleado,,
