com.samsung.shealth.sleep,6100041,2
efficiency,extra_data,original_efficiency,original_bed_time,has_sleep_data,original_wake_up_time,quality,com.samsung.health.sleep.start_time,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.datauuid,com.samsung.health.sleep.custom,com.samsung.health.sleep.end_time,com.samsung.health.sleep.comment,com.samsung.health.sleep.deviceuuid
87.0,11bbfb2d-0e30-ada2-f4cc-f9eb3e508f11.extra_data.json,,,0,,,1575360240000,com.sec.android.app.shealth,1575376955993,1575376955993,UTC-0500,11bbfb2d-0e30-ada2-f4cc-f9eb3e508f11,,1575376860000,,hytsFLPcD3,
86.0,03b3cdae-c22a-4289-5a45-3ee3e077712a.extra_data.json,,,0,,,1577532180000,com.sec.android.app.shealth,1577569126194,1577569126194,UTC-0600,03b3cdae-c22a-4289-5a45-3ee3e077712a,,1577568960000,,hytsFLPcD3,
84.0,50df6384-94f8-93fa-e07b-58822c26b0cc.extra_data.json,,,1,,,1572689460000,com.sec.android.app.shealth,1572707026357,1572707026357,UTC-0500,50df6384-94f8-93fa-e07b-58822c26b0cc,,1572706800000,,hytsFLPcD3,
80.0,50f8e4e2-29c3-f609-d97f-9b90b6054013.extra_data.json,,,0,,,1569178680000,com.sec.android.app.shealth,1569185401477,1569185401477,UTC-0400,50f8e4e2-29c3-f609-d97f-9b90b6054013,,1569185160000,,hytsFLPcD3,
0.0,,,,,,50004,1555306800000,com.sec.android.app.shealth,1555345502224,1555345502224,UTC-0400,cb35f1a4-ed7f-4e51-acae-d1f1971adb43,,1555343400000,,eL5K8TBQJK,
88.0,765bb7c7-4569-d780-4402-b230de6d01ce.extra_data.json,,,0,,,1575598080000,com.sec.android.app.shealth,1575608123222,1575608123222,UTC-0500,765bb7c7-4569-d780-4402-b230de6d01ce,,1575599700000,,hytsFLPcD3,
90.0,6eb70412-31dd-ace0-0b91-a90f03d15b47.extra_data.json,,,0,,,1577792340000,com.sec.android.app.shealth,1577823688395,1577823688395,UTC-0600,6eb70412-31dd-ace0-0b91-a90f03d15b47,,1577823540000,,hytsFLPcD3,
90.0,6083101e-5508-3b38-d2e8-09671cfa8bbd.extra_data.json,,,0,,,1564041240000,com.sec.android.app.shealth,1564062719453,1564062719453,UTC-0400,6083101e-5508-3b38-d2e8-09671cfa8bbd,,1564062540000,,hytsFLPcD3,
86.0,a18e967e-b69e-7677-72a1-253b683cec14.extra_data.json,,,0,,,1563879360000,com.sec.android.app.shealth,1563909069992,1563909069992,UTC-0500,a18e967e-b69e-7677-72a1-253b683cec14,,1563908700000,,hytsFLPcD3,
0.0,,,,,,50001,1555743600000,com.sec.android.app.shealth,1555784499791,1555784499791,UTC-0500,91997c5a-11b1-4be5-9e26-dbc51e5bbc5b,,1555784400000,,eL5K8TBQJK,
84.0,6b98a319-49a2-20ea-bb98-f8b0ab450b08.extra_data.json,,,0,,,1571205420000,com.sec.android.app.shealth,1571225821578,1571225821578,UTC-0400,6b98a319-49a2-20ea-bb98-f8b0ab450b08,,1571225220000,,hytsFLPcD3,
82.0,283b5f04-6fab-988a-26f1-789108f1dbef.extra_data.json,,,0,,,1574320680000,com.sec.android.app.shealth,1574339697380,1574339697380,UTC-0500,283b5f04-6fab-988a-26f1-789108f1dbef,,1574339400000,,hytsFLPcD3,
89.0,69ba40dc-aabf-bf1e-0083-ff0d843ecc8b.extra_data.json,,,0,,,1564643940000,com.sec.android.app.shealth,1564675626779,1564675626779,UTC-0400,69ba40dc-aabf-bf1e-0083-ff0d843ecc8b,,1564675440000,,hytsFLPcD3,
0.0,,,,,,50004,1558506000000,com.sec.android.app.shealth,1558540829004,1558540829004,UTC-0500,287427d1-82d5-4604-9dc3-3228ded34aee,,1558526400000,,eL5K8TBQJK,
86.0,38a38b5b-ee8e-995c-094d-d2f08dd8cf92.extra_data.json,,,0,,,1572511320000,com.sec.android.app.shealth,1572533528975,1572533528975,UTC-0500,38a38b5b-ee8e-995c-094d-d2f08dd8cf92,,1572533220000,,hytsFLPcD3,
83.0,000d66f2-1f65-e1f8-6821-56c764313466.extra_data.json,,,0,,,1567995180000,com.sec.android.app.shealth,1568032820758,1568032820758,UTC-0400,000d66f2-1f65-e1f8-6821-56c764313466,,1568032680000,,hytsFLPcD3,
56.0,df5a26eb-cafe-2da4-228d-909e1de2e290.extra_data.json,,,0,,,1563990600000,com.sec.android.app.shealth,1564038426635,1564038426635,UTC-0500,df5a26eb-cafe-2da4-228d-909e1de2e290,,1563992100000,,hytsFLPcD3,
