com.samsung.shealth.step_daily_trend,6100041,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2020-01-14 22:11:17.169,3543.59,4402,0,1547078400000,3.166667,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.169,f9787f3e-b054-46bf-b5e7-c50280cddf46.binning_data.json,f9787f3e-b054-46bf-b5e7-c50280cddf46,167.87,com.sec.android.app.shealth,
2020-01-14 22:11:17.177,4840.51,6071,0,1547596800000,5.1666665,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.177,4fc38407-fdd9-481b-85e0-e2e5e6b7df65.binning_data.json,4fc38407-fdd9-481b-85e0-e2e5e6b7df65,228.52998,com.sec.android.app.shealth,
2020-01-14 22:11:17.181,3002.9,3699,0,1548115200000,6.944445,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.181,593e717d-a60a-4724-b9d2-2d49e32d5f53.binning_data.json,593e717d-a60a-4724-b9d2-2d49e32d5f53,151.04,com.sec.android.app.shealth,
2020-01-14 22:11:17.183,2099.12,2684,0,1548633600000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.183,413aef64-f187-442e-af2a-34890f9579de.binning_data.json,413aef64-f187-442e-af2a-34890f9579de,102.21,com.sec.android.app.shealth,
2020-01-14 22:11:17.172,3402.01,4148,0,1547251200000,5.2120204,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.172,e02cbcba-6856-402c-b140-a688eaf4d9f1.binning_data.json,e02cbcba-6856-402c-b140-a688eaf4d9f1,159.51,com.sec.android.app.shealth,
2020-01-14 22:11:17.173,5253.79,6657,0,1547337600000,6.9444427,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.173,c675c712-ca0d-4078-abdf-981466a5d30c.binning_data.json,c675c712-ca0d-4078-abdf-981466a5d30c,250.87999,com.sec.android.app.shealth,
2020-01-14 22:11:17.179,5897.72,7371,0,1547769600000,4.4166665,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.179,c25d8c75-7e3a-4b12-88ea-8d6c5f1cb659.binning_data.json,c25d8c75-7e3a-4b12-88ea-8d6c5f1cb659,281.93997,com.sec.android.app.shealth,
2020-01-14 22:11:17.171,1528.75,1913,0,1547164800000,4.7222223,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.171,c599a95c-8c47-4bde-9655-38dfbca33091.binning_data.json,c599a95c-8c47-4bde-9655-38dfbca33091,69.439995,com.sec.android.app.shealth,
2020-01-14 22:11:17.179,4306.7,5467,0,1547856000000,3.6944444,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.179,fe6b8002-32ff-4105-8371-e0c4e02ec144.binning_data.json,fe6b8002-32ff-4105-8371-e0c4e02ec144,211.10999,com.sec.android.app.shealth,
2020-01-14 22:11:17.182,7882.12,8692,0,1548288000000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.182,b3f90a56-23ac-49fb-80df-2cb9d7747b1f.binning_data.json,b3f90a56-23ac-49fb-80df-2cb9d7747b1f,421.91,com.sec.android.app.shealth,
2020-01-14 22:11:17.178,7706.79,8635,0,1547683200000,6.944445,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.178,e959dc16-038d-4432-998e-571d8e2b9d2c.binning_data.json,e959dc16-038d-4432-998e-571d8e2b9d2c,383.13998,com.sec.android.app.shealth,
2020-01-14 22:11:17.186,2982.38,3853,0,1548806400000,3.7072585,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.186,4f608776-834f-4553-852b-6b87ca3221eb.binning_data.json,4f608776-834f-4553-852b-6b87ca3221eb,142.35999,com.sec.android.app.shealth,
2020-01-14 22:11:17.181,2691.69,3351,0,1548201600000,3.6513665,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.181,4a0f3eb8-8af0-4411-af88-a600196b94fc.binning_data.json,4a0f3eb8-8af0-4411-af88-a600196b94fc,126.71,com.sec.android.app.shealth,
2020-01-14 22:11:17.189,5440.59,6788,0,1549324800000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.189,4c4f3024-2d7f-4dcf-8c68-e8d9ac1cfd5e.binning_data.json,4c4f3024-2d7f-4dcf-8c68-e8d9ac1cfd5e,258.21,com.sec.android.app.shealth,
2020-01-14 22:11:17.183,2412.87,3010,0,1548720000000,4.5277786,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.183,bfbac635-41e2-416b-89fe-38ede767c144.binning_data.json,bfbac635-41e2-416b-89fe-38ede767c144,114.689995,com.sec.android.app.shealth,
2020-01-14 22:11:17.200,4767.64,5985,0,1549843200000,4.3333335,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.200,ad721492-e121-4ad8-84f0-d421e397e130.binning_data.json,ad721492-e121-4ad8-84f0-d421e397e130,232.93,com.sec.android.app.shealth,
