com.samsung.shealth.stress,6100041,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2019-07-29 07:08:09.570,UTC-0400,1.0,,2019-07-29 06:59:59.999,hytsFLPcD3,2019-07-29 06:00:00.000,0.0,com.sec.android.app.shealth,2019-07-29 07:08:09.570,0.0,135970ac-896b-ac34-368d-0217984dc836.binning_data.json,135970ac-896b-ac34-368d-0217984dc836,10011,,1,
2019-08-04 17:09:02.543,UTC-0400,100.0,,2019-08-04 16:59:59.999,hytsFLPcD3,2019-08-04 16:00:00.000,60.0,com.sec.android.app.shealth,2019-08-04 17:09:02.543,0.0,cc6f6a68-e5d9-f7a0-3860-99d9f651dc74.binning_data.json,cc6f6a68-e5d9-f7a0-3860-99d9f651dc74,10011,,1,
2019-07-26 17:01:28.629,UTC-0400,100.0,,2019-07-26 16:59:59.999,hytsFLPcD3,2019-07-26 16:00:00.000,9.0,com.sec.android.app.shealth,2019-07-26 17:01:28.629,0.0,3ffc1bd0-5e86-4ec9-e788-b5767898d2a9.binning_data.json,3ffc1bd0-5e86-4ec9-e788-b5767898d2a9,10011,,1,
2019-07-24 23:01:18.480,UTC-0500,100.0,,2019-07-24 22:59:59.999,hytsFLPcD3,2019-07-24 22:00:00.000,15.0,com.sec.android.app.shealth,2019-07-24 23:01:18.480,0.0,2fa5cef1-8f87-d002-8630-ee585160ef0b.binning_data.json,2fa5cef1-8f87-d002-8630-ee585160ef0b,10011,,1,
2019-07-27 04:01:05.681,UTC-0400,100.0,,2019-07-27 03:59:59.999,hytsFLPcD3,2019-07-27 03:00:00.000,64.0,com.sec.android.app.shealth,2019-07-27 04:01:05.681,0.0,61f47a99-4488-5044-cc3b-81836cbf5ec1.binning_data.json,61f47a99-4488-5044-cc3b-81836cbf5ec1,10011,,1,
2019-07-26 19:01:43.706,UTC-0400,100.0,,2019-07-26 18:59:59.999,hytsFLPcD3,2019-07-26 18:00:00.000,35.0,com.sec.android.app.shealth,2019-07-26 19:01:44.102,0.0,cf0d99c2-c3aa-741e-2a0c-d4177b4fed8f.binning_data.json,cf0d99c2-c3aa-741e-2a0c-d4177b4fed8f,10011,,1,
2019-08-16 17:01:13.701,UTC-0400,100.0,,2019-08-16 16:59:59.999,hytsFLPcD3,2019-08-16 16:00:00.000,65.0,com.sec.android.app.shealth,2019-08-16 17:01:13.701,0.0,a8f7703a-f89e-9c6a-89e3-06919906ce95.binning_data.json,a8f7703a-f89e-9c6a-89e3-06919906ce95,10011,,1,
2019-08-09 00:05:45.498,UTC-0400,100.0,,2019-08-08 23:59:59.999,hytsFLPcD3,2019-08-08 23:00:00.000,51.0,com.sec.android.app.shealth,2019-08-09 00:05:45.498,0.0,45730333-54ff-11e7-2378-21b8cc5e3913.binning_data.json,45730333-54ff-11e7-2378-21b8cc5e3913,10011,,1,
2019-08-11 07:05:08.295,UTC-0400,4.0,,2019-08-11 06:59:59.999,hytsFLPcD3,2019-08-11 06:00:00.000,0.0,com.sec.android.app.shealth,2019-08-11 07:05:08.295,0.0,4f2b053d-7e3d-12ca-f4e8-beb07baf7d57.binning_data.json,4f2b053d-7e3d-12ca-f4e8-beb07baf7d57,10011,,1,
2019-08-06 05:01:31.604,UTC-0400,100.0,,2019-08-06 04:59:59.999,hytsFLPcD3,2019-08-06 04:00:00.000,8.0,com.sec.android.app.shealth,2019-08-06 05:01:31.604,0.0,3fe8c4ad-7bcf-bf4f-f7cd-16958ef23375.binning_data.json,3fe8c4ad-7bcf-bf4f-f7cd-16958ef23375,10011,,1,
2019-08-06 02:01:47.640,UTC-0400,100.0,,2019-08-06 01:59:59.999,hytsFLPcD3,2019-08-06 01:00:00.000,38.0,com.sec.android.app.shealth,2019-08-06 02:01:47.640,0.0,fb38d70f-2303-a0dc-a3ad-aa52096c3a2b.binning_data.json,fb38d70f-2303-a0dc-a3ad-aa52096c3a2b,10011,,1,
2019-08-17 21:56:56.190,UTC-0400,100.0,,2019-08-17 21:59:59.999,hytsFLPcD3,2019-08-17 21:00:00.000,60.0,com.sec.android.app.shealth,2019-08-17 22:02:24.455,0.0,faa5d562-12e3-9484-fbf6-b898ba303fb8.binning_data.json,faa5d562-12e3-9484-fbf6-b898ba303fb8,10011,,1,
2019-08-02 06:25:02.619,UTC-0400,100.0,,2019-08-02 06:59:59.999,hytsFLPcD3,2019-08-02 06:00:00.000,20.0,com.sec.android.app.shealth,2019-08-02 07:03:09.650,0.0,c70b10e7-4c1b-9310-c353-c08e95f43002.binning_data.json,c70b10e7-4c1b-9310-c353-c08e95f43002,10011,,1,
2019-08-18 04:01:25.724,UTC-0400,100.0,,2019-08-18 03:59:59.999,hytsFLPcD3,2019-08-18 03:00:00.000,56.0,com.sec.android.app.shealth,2019-08-18 04:01:25.724,0.0,df65af2a-026c-6b66-6fa9-77d47a68466a.binning_data.json,df65af2a-026c-6b66-6fa9-77d47a68466a,10011,,1,
2019-08-11 08:09:22.605,UTC-0400,40.0,,2019-08-11 07:59:59.999,hytsFLPcD3,2019-08-11 07:00:00.000,0.0,com.sec.android.app.shealth,2019-08-11 08:09:22.605,0.0,5728dadf-b91f-3545-78bd-f6ca055731af.binning_data.json,5728dadf-b91f-3545-78bd-f6ca055731af,10011,,1,
2019-08-21 16:01:36.662,UTC-0400,100.0,,2019-08-21 15:59:59.999,hytsFLPcD3,2019-08-21 15:00:00.000,24.0,com.sec.android.app.shealth,2019-08-21 16:01:36.662,0.0,e9688049-9a97-810c-bad3-eae7db7c99c1.binning_data.json,e9688049-9a97-810c-bad3-eae7db7c99c1,10011,,1,
2019-07-30 00:22:21.513,UTC-0400,99.0,,2019-07-30 00:59:59.999,hytsFLPcD3,2019-07-30 00:00:00.000,48.0,com.sec.android.app.shealth,2019-07-30 01:01:20.323,0.0,944dfb3e-ce2c-243d-14e3-c61b112979fa.binning_data.json,944dfb3e-ce2c-243d-14e3-c61b112979fa,10011,,1,
