com.samsung.shealth.tracker.pedometer_day_summary,6100041,5
create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
2019-05-24 06:12:57.400,6159.56,0706087c-6268-4980-aa23-e9ccc35d5150.achievement.json,7810,6000,1558656000000,1.5347035,VfS0qUERdZ,4013517,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-25 05:02:24.086,7593,0706087c-6268-4980-aa23-e9ccc35d5150.binning_data.json,0706087c-6268-4980-aa23-e9ccc35d5150,291.55,217,0706087c-6268-4980-aa23-e9ccc35d5150.source_info.json,0,
2019-05-29 06:01:39.239,4157.93,6ea8f82d-b279-43ce-ac19-c6a45fd5014c.achievement.json,5316,6000,1559001600000,4.7007055,eL5K8TBQJK,2660394,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-29 06:01:39.239,5210,6ea8f82d-b279-43ce-ac19-c6a45fd5014c.binning_data.json,6ea8f82d-b279-43ce-ac19-c6a45fd5014c,197.37,106,,0,
2019-05-05 07:05:33.727,2072.84,0582c535-b96f-4bb8-9455-8ccbe8bc1ee5.achievement.json,2593,6000,1557014400000,1.613546,VfS0qUERdZ,1284648,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-06 05:32:03.385,2556,0582c535-b96f-4bb8-9455-8ccbe8bc1ee5.binning_data.json,0582c535-b96f-4bb8-9455-8ccbe8bc1ee5,97.509995,37,0582c535-b96f-4bb8-9455-8ccbe8bc1ee5.source_info.json,0,
2019-02-26 07:00:04.983,2030.5599,23188acc-77a8-4fad-afec-740d68326a66.achievement.json,2538,6000,1551052800000,5.228771,eL5K8TBQJK,1243439,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-02-26 07:00:04.983,2475,23188acc-77a8-4fad-afec-740d68326a66.binning_data.json,23188acc-77a8-4fad-afec-740d68326a66,97.77,63,,0,
2019-04-29 06:00:02.457,1527.2,b8578312-7d15-46fb-b02e-ceab5f5d24f7.achievement.json,1881,6000,1556409600000,4.138889,eL5K8TBQJK,905898,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-04-29 06:00:02.457,1847,b8578312-7d15-46fb-b02e-ceab5f5d24f7.binning_data.json,b8578312-7d15-46fb-b02e-ceab5f5d24f7,71.52,34,,0,
2019-04-30 06:02:35.019,5168.43,55c6edca-c981-4573-9b7d-d65125251ced.achievement.json,6525,6000,1556582400000,1.5974886,VfS0qUERdZ,3235347,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-01 05:22:01.042,6369,55c6edca-c981-4573-9b7d-d65125251ced.binning_data.json,55c6edca-c981-4573-9b7d-d65125251ced,244.17998,156,55c6edca-c981-4573-9b7d-d65125251ced.source_info.json,0,
2019-04-17 05:00:02.064,7914.73,6c7ff2dd-e1cd-4db4-9997-3493fe672532.achievement.json,10174,6000,1555372800000,3.8055558,eL5K8TBQJK,5391319,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-04-17 05:00:02.064,10105,6c7ff2dd-e1cd-4db4-9997-3493fe672532.binning_data.json,6c7ff2dd-e1cd-4db4-9997-3493fe672532,369.34,69,,0,
2019-03-19 07:00:09.470,2747.19,6f13a734-f90f-495c-9310-9a875926e376.achievement.json,3437,6000,1552867200000,5.555555,eL5K8TBQJK,1655895,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-03-19 07:00:09.470,3379,6f13a734-f90f-495c-9310-9a875926e376.binning_data.json,6f13a734-f90f-495c-9310-9a875926e376,129.06,58,,0,
2019-06-26 09:23:44.885,5401.43,a5361d0a-e86e-4955-9d9b-8dadd3263b13.achievement.json,6894,6000,1561507200000,1.4905777,VfS0qUERdZ,3623715,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-06-27 05:33:16.776,6837,a5361d0a-e86e-4955-9d9b-8dadd3263b13.binning_data.json,a5361d0a-e86e-4955-9d9b-8dadd3263b13,257.74,57,a5361d0a-e86e-4955-9d9b-8dadd3263b13.source_info.json,0,
2019-04-19 05:00:02.801,4775.6,5080e035-52a7-48ef-801f-be4bbcf21b2b.achievement.json,6065,6000,1555545600000,4.08198,eL5K8TBQJK,3147914,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-04-19 05:00:02.801,5954,5080e035-52a7-48ef-801f-be4bbcf21b2b.binning_data.json,5080e035-52a7-48ef-801f-be4bbcf21b2b,228.62999,111,,0,
