com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
5568,0,4,10,1589436159714,7.27,UTC-0500,,10,1589436119999,1.3055556,hytsFLPcD3,1589436060000,com.sec.android.app.shealth,1589436159714,ead34f8a-9123-6022-48c5-c4ddfd8b8803,0.47,230002,
9465,0,4,16,1589465899837,11.7300005,UTC-0500,,16,1589465940000,1.2392653,jpgso+yMpj,1589465880000,com.sec.android.app.shealth,1589465913019,2ec0208a-d2d4-4463-a8a6-f952a3977ee7,0.5799999,,
13387,8,4,24,1589471396351,28.11,UTC-0500,,32,1589471399999,2.0996559,hytsFLPcD3,1589471340000,com.sec.android.app.shealth,1589471445596,8ab56c5d-bf70-60de-b34e-6e3345826c78,1.5,230002,
17451,0,4,17,1589480100847,21.33,UTC-0500,,35,1589480100000,1.2222222,jpgso+yMpj,1589480040000,com.sec.android.app.shealth,1589480100847,5b98f920-55dd-490b-8881-279370ebbf3e,1.38,,
13160,0,4,22,1589481300639,16.45,UTC-0500,,22,1589480760000,1.25,jpgso+yMpj,1589480700000,com.sec.android.app.shealth,1589481300639,6898ea59-386d-43f4-aece-0cc073c49ff4,0.85,,
13141,0,4,23,1589473545360,17.08,UTC-0500,,23,1589473559999,1.2996557,hytsFLPcD3,1589473500000,com.sec.android.app.shealth,1589473586350,04d0cdcd-4e01-d1e8-6766-6603cdc7385a,0.77,230002,
12748,0,4,15,1589478455726,11.618,UTC-0500,,17,1589478479999,0.9113134,hytsFLPcD3,1589478420000,com.sec.android.app.shealth,1589478462587,adc756c9-e232-83c8-68c0-e2c958452d94,0.52,230002,
17897,1,4,36,1589480284380,30.83,UTC-0500,,37,1589480339999,1.7226213,hytsFLPcD3,1589480280000,com.sec.android.app.shealth,1589480303638,cf69fddf-8d6a-1768-857a-4bdee724f519,1.35,230002,
6146,0,4,10,1589481698355,7.0,UTC-0500,,10,1589481719999,1.1388888,hytsFLPcD3,1589481660000,com.sec.android.app.shealth,1589481698355,0b8e50ad-3f13-890f-7dea-1ced8e97c30a,0.39,230002,
3924,0,4,6,1589487986007,4.47,UTC-0500,,6,1589488020000,1.1388888,jpgso+yMpj,1589487960000,com.sec.android.app.shealth,1589487986007,901fa823-5938-44da-ba70-897b4aa51c2c,0.21,,
